97,RGX1,0xE67E0308,0x0000000000000000,0xE67E2308,0x0000000000000000
98,RGX1,0xE67E0310,0x0000000000000000,0xE67E2310,0x0000000000000000
99,fbapvd012m,0xE67E0318,0x0000000000000000,0xE67E2318,0x0012001005F03401
100,RGX2,0xE67E0320,0x0000000000000000,0xE67E2320,0x0000000000000000
101,RGX2,0xE67E0328,0x0000000000000000,0xE67E2328,0x0000000000000000
102,RGX3,0xE67E0330,0x0000000000000000,0xE67E2330,0x0000000000000000
103,RGX3,0xE67E0338,0x0000000000000000,0xE67E2338,0x0000000000000000
104,Dummy0,0xE67E0340,0x0000000000000000,0xE67E2340,0x0000000000000000
105,Dummy1,0xE67E0348,0x0000000000000000,0xE67E2348,0x0000000000000000
106,Dummy2,0xE67E0350,0x0000000000000000,0xE67E2350,0x0000000000000000
107,dhdm,0xE67E0358,0x0000000000000000,0xE67E2358,0x001201A005FFFC01
108,dhdm,0xE67E0360,0x0000000000000000,0xE67E2360,0x001201A005FFFC01
109,fbaim01,0xE67E0368,0x0000000000000000,0xE67E2368,0x0012001005F03401
110,viterbi,0xE67E0370,0x000C04020000FFFF,0xE67E2370,0x0000000000000000
111,viterbi,0xE67E0378,0x000C04020000FFFF,0xE67E2378,0x0000000000000000
112,sdhi0123m_ndf,0xE67E0380,0x000C04050000FFFF,0xE67E2380,0x0000000000000000
113,sdhi0123m_ndf,0xE67E0388,0x000C04050000FFFF,0xE67E2388,0x0000000000000000
114,fbavcp,0xE67E0390,0x0000000000000000,0xE67E2390,0x0012001005F03401
